sta lat lon HLE HLN HLZ dist az Max3 MaxH MaxZ MaxS
D113 22.3679 120.591 2.609470 2.793370 2.207010 139.419 226.198 2.793370 2.793370 2.207010 4.413971
D114 22.5138 120.511 9.485150 9.560950 2.975570 135.159 233.557 9.560950 9.560950 2.975570 13.792529
E004 24.7435 121.791 1.165770 1.429040 0.709217 167.804 7.71342 1.429040 1.429040 0.709217 1.975896
E022 24.6668 121.651 0.865302 0.978984 0.801939 157.997 3.04373 0.978984 0.978984 0.801939 1.533057
E023 24.6787 121.61 1.308740 1.485850 1.266900 159.153 1.51403 1.485850 1.485850 1.266900 2.350657
E026 24.6734 121.773 2.141880 2.135860 1.740740 159.865 7.44976 2.141880 2.141880 1.740740 3.489946
E033 24.863 121.828 1.069790 1.022640 1.027790 181.443 8.31246 1.069790 1.069790 1.027790 1.801831
E035 24.8223 121.769 0.824808 0.878221 0.621446 176.187 6.60736 0.878221 0.878221 0.621446 1.355646
E037 24.7435 121.723 1.639390 2.013230 1.589310 167.017 5.3842 2.013230 2.013230 1.589310 3.044109
E042 24.6874 121.799 1.307770 1.445120 1.076690 161.772 8.29572 1.445120 1.445120 1.076690 2.226633
E046 24.6649 121.742 1.426570 1.103260 0.936362 158.565 6.38843 1.426570 1.426570 0.936362 2.032008
E062 24.4663 121.801 3.628100 3.080910 2.668060 137.623 9.87569 3.628100 3.628100 2.668060 5.456525
F015 23.9729 121.563 7.340290 5.864090 4.607630 80.915 359.615 7.340290 7.340290 4.607630 10.464113
F026 24.1182 121.624 7.659280 7.796720 5.733460 97.1764 3.38754 7.796720 7.796720 5.733460 12.342041
F041 23.2648 121.303 52.906900 32.905900 21.394700 27.2686 275.302 52.906900 52.906900 21.394700 65.876183
F042 23.2199 121.265 29.090800 29.802100 22.401400 31.158 265.494 29.802100 29.802100 22.401400 47.289138
F067 23.7545 121.469 10.329200 8.162930 6.501530 57.6299 349.892 10.329200 10.329200 6.501530 14.683177
G020 23.1259 121.215 13.183000 14.283500 9.167920 38.4007 250.454 14.283500 14.283500 9.167920 21.490943
G021 23.102 121.176 23.510700 25.927000 19.270500 43.0495 248.914 25.927000 25.927000 19.270500 39.953905
G023 23.0512 121.164 0.000000 17.125400 10.835800 46.4864 242.998 17.125400 17.125400 10.835800 20.265584
G025 22.9023 121.08 22.678400 18.721200 21.344300 62.5932 233.111 22.678400 22.678400 21.344300 36.336927
G026 22.8597 121.092 12.319500 12.295200 8.330170 64.6344 229.131 12.319500 12.319500 8.330170 19.295952
G031 23.3563 121.467 110.323000 101.519000 29.622300 16.2933 320.815 110.323000 110.323000 29.622300 152.822617
G035 22.8784 121.228 69.459400 114.013000 46.118200 53.3026 220.939 114.013000 114.013000 46.118200 141.246100
G037 22.5321 120.967 3.670660 5.180380 2.913990 99.9611 218.233 5.180380 5.180380 2.913990 6.985801
G045 22.9741 121.156 15.122400 14.219400 10.204900 51.5801 234.919 15.122400 15.122400 10.204900 23.130463
